year,district,name,sex,party,vote_count,vote_percent
2014,14th Suffolk,Angelo M. Scaccia,m,Democratic,"9,920",98.5
2014,15th Suffolk,Jeffrey Sanchez,m,Democratic,"9,582",99
2014,16th Suffolk,Roselee Vincent,f,Democratic,"1,586",67.5
2014,16th Suffolk,Roselee Vincent,f,Democratic,"7,431",98.4
2014,17th Suffolk,Kevin G. Honan,m,Democratic,"5,609",98.3
2014,18th Suffolk,Michael J. Moran,m,Democratic,"5,039",98.1
2014,19th Suffolk,Robert A. DeLeo,m,Democratic,"7,330",71.6
2014,1st Worcester,Kimberly N. Ferguson,f,Republican,"13,847",99.4
2014,2nd Worcester,Jonathan D. Zlotnik,m,Democratic,"5,859",50.1
2014,3rd Worcester,Stephen L. DiNatale,m,Democratic,"7,800",99.6
2014,4th Worcester,Dennis A. Rosa,m,Democratic,"6,649",55
2014,5th Worcester,"Donald R. Berthiaume, Jr",m,Republican,"8,344",56.3
2014,6th Worcester,Peter J. Durant,m,Republican,"7,210",62.9
2014,7th Worcester,Paul K. Frost,m,Republican,"10,087",73.6
2014,8th Worcester,Kevin J. Kuros,m,Republican,"8,331",60.4
2014,9th Worcester,"David K. Muradian, Jr",m,Republican,"8,980",62.4
2014,10th Worcester,John V. Fernandes,m,Democratic,"8,677",58.9
2014,11th Worcester,Matthew A. Beaton,m,Republican,"12,457",99.4
2014,12th Worcester,"Harold P. Naughton, Jr.",m,Democratic,"8,497",55.4
2014,13th Worcester,"John J. Mahoney, Jr.",m,Democratic,"7,545",68.5
2014,14th Worcester,James J. O'Day,m,Democratic,"8,194",97.9
2014,15th Worcester,Mary S. Keefe,f,Democratic,"4,731",97.9
2014,16th Worcester,Daniel M. Donahue,m,Democratic,"5,351",97.9
2014,17th Worcester,Kate D. Campanale,f,Republican,"4,688",50.2
2014,18th Worcester,Joseph D. Mckenna,m,Republican,"7,809",60.1
