year,district,name,sex,party,vote_count,vote_percent
2012,2nd Plymouth,Susan Williams Gifford,f,Republican,"15,996",98.6
2012,3rd Plymouth,Garrett J. Bradley,m,Democratic,"18,942",99.3
2012,4th Plymouth,James M. Cantwell,m,Democratic,"16,128",68.4
2012,5th Plymouth,Rhonda L. Nyman,f,Democratic,"12,965",57.8
2012,6th Plymouth,Josh S. Cutler,m,Democratic,"12,433",55
2012,7th Plymouth,Geoff Diehl,m,Republican,"10,942",54.2
2012,8th Plymouth,Angelo L. D'Emilia,m,Republican,"9,287",52.2
2012,9th Plymouth,Michael D. Brady,m,Democratic,"10,474",99.9
2012,10th Plymouth,Christine E. Canavan,f,Democratic,"13,687",99.7
2012,11th Plymouth,Claire D. Cronin,f,Democratic,"11,422",63.2
2012,12th Plymouth,"Thomas J. Calter, III",m,Democratic,"13,436",62.5
2012,1st Suffolk,Carlo P. Basile,m,Democratic,"8,137",97.7
2012,2nd Suffolk,Eugene L. O'Flaherty,m,Democratic,"10,282",81.8
2012,3rd Suffolk,Aaron M. Michlewitz,m,Democratic,"13,031",98.5
2012,4th Suffolk,Nick Collins,m,Democratic,"14,927",98.4
2012,5th Suffolk,Carlos Tony Henriquez,m,Democratic,"9,179",77.6
2012,6th Suffolk,Russell E. Holmes,m,Democratic,"12,357",98.7
2012,7th Suffolk,Gloria L. Fox,f,Democratic,"9,561",98.5
2012,8th Suffolk,Martha Walz,f,Democratic,"14,844",98.1
2012,9th Suffolk,Byron Rushing,m,Democratic,"11,517",98.3
2012,10th Suffolk,Edward F. Coppinger,m,Democratic,"15,926",98.7
2012,11th Suffolk,Elizabeth A. Malia,f,Democratic,"14,632",98.9
2012,12th Suffolk,Linda Dorcena Forry,f,Democratic,"15,443",98.8
2012,13th Suffolk,Martin J. Walsh,m,Democratic,"13,744",98.2
2012,14th Suffolk,Angelo M. Scaccia,m,Democratic,"14,183",98.5
2012,15th Suffolk,Jeffrey Sanchez,m,Democratic,"14,417",98.7
2012,16th Suffolk,Kathi-Anne Reinstein,f,Democratic,"11,761",98.5
2012,17th Suffolk,Kevin G. Honan,m,Democratic,"11,267",98.3
2012,18th Suffolk,Michael J. Moran,m,Democratic,"9,557",98.5
2012,19th Suffolk,Robert A. DeLeo,m,Democratic,"11,455",77.5
2012,1st Worcester,Kimberly N. Ferguson,f,Republican,"18,218",99.2
2012,2nd Worcester,Jonathan D. Zlotnik,m,Democratic,"8,528",50.9
