city_town,Amount,senate_district
truro,3070.0,['Cape & Isl&s']
upton,1500.0,['Second Worcester']
uxbridge,1333.13,['Worcester & Norfolk']
wakefield,2564.81,['Fifth Middlesex']
wales,750.0,"['Worcester, Hampden, Hampshire & Middlesex']"
walpole,5107.0599999999995,['Bristol & Norfolk']
waltham,8885.869999999999,['Third Middlesex']
wareham,2030.0,['First Plymouth & Bristol']
watertown,3689.29,['Second Suffolk & Middlesex']
wayland,7800.0,"['Norfolk, Bristol & Middlesex']"
webster,4700.0,['Worcester & Norfolk']
wellesley,7958.51,"['First Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
wellfleet,700.0,['Cape & Isl&s']
wenham,1500.0,['First Essex & Middlesex']
west newbury,750.0,['First Essex & Middlesex']
west springfield,5295.0,['Hampden']
westborough,6300.0,['Middlesex & Worcester']
westfield,13364.0,['Second Hampden & Hampshire']
westford,1250.0,['First Middlesex']
weston,5922.28,['Third Middlesex']
westport,6925.0,['First Bristol & Plymouth']
westwood,4500.0,['Norfolk & Suffolk']
weymouth,9117.32,['Plymouth & Norfolk']
wilbraham,6712.0,['First Hampden & Hampshire']
wilmington,4118.55,['First Essex & Middlesex']
winchester,9586.5,"['Second Middlesex', 'Fifth Middlesex']"
winthrop,6992.66,['First Suffolk & Middlesex']
woburn,8907.97,['Fourth Middlesex']
worcester,47091.24,"['First Worcester', 'Second Worcester']"
wrentham,2652.14,"['Norfolk, Bristol & Middlesex']"
