year,district,name,party,vote_count,vote_percent
2014,11th Bristol,Robert M. Koczera,Democratic,"6,233",98.8
2014,12th Bristol,Keiko M. Orrall,Republican,"10,100",99.0
2014,13th Bristol,Antonio d. F. Cabral,Democratic,"6,270",98.6
2014,14th Bristol,Elizabeth A. Poirier,Republican,"10,494",99.4
2014,1st Essex,James M. Kelcourse,Republican,"6,978",42.0
2014,2nd Essex,Leonard Mirra,Republican,"14,083",99.2
2014,3rd Essex,Brian S. Dempsey,Democratic,"8,901",97.8
2014,4th Essex,Bradford R. Hill,Republican,"15,936",99.5
2014,5th Essex,Ann-Margaret Ferrante,Democratic,"9,439",58.9
2014,6th Essex,Jerald A. Parisella,Democratic,"9,912",74.1
2014,7th Essex,Paul F. Tucker,Democratic,"10,187",83.9
2014,8th Essex,Lori A. Ehrlich,Democratic,"12,906",99.2
2014,9th Essex,Donald H. Wong,Republican,"9,721",60.5
2014,10th Essex,Robert F. Fennell,Democratic,"7,090",98.1
2014,11th Essex,Brendan P. Crighton,Democratic,"7,368",98.1
2014,12th Essex,Leah Cole,Republican,"7,265",51.5
2014,13th Essex,Theodore C. Speliotis,Democratic,"8,459",52.4
2014,14th Essex,Diana DiZoglio,Democratic,"6,732",54.8
2014,15th Essex,Linda Dean Campbell,Democratic,"7,716",57.3
2014,16th Essex,Marcos A. Devers,Democratic,"3,667",46.9
2014,17th Essex,Frank A. Moran,Democratic,"6,819",97.5
2014,18th Essex,"James J. Lyons, Jr.",Republican,"12,584",99.1
2014,1st Franklin,Stephen Kulik,Democratic,"11,987",69.9
2014,2nd Franklin,Susannah Whipps M. Lee,Republican,"7,350",54.5
2014,1st Hampden,Todd M. Smola,Republican,"11,528",99.3
2014,2nd Hampden,Brian M. Ashe,Democratic,"12,104",98.3
2014,3rd Hampden,Nicholas A. Boldyga,Republican,"9,401",67.8
2014,4th Hampden,John C. Velis,Democratic,"2,697",53.4
2014,4th Hampden,John C. Velis,Democratic,"7,327",58.9
2014,5th Hampden,Aaron Vega,Democratic,"7,902",97.9
2014,6th Hampden,Michael J. Finn,Democratic,"6,113",56.8
2014,7th Hampden,Thomas M. Petrolati,Democratic,"9,462",97.9
2014,8th Hampden,Joseph F. Wagner,Democratic,"9,284",97.9
2014,9th Hampden,Jose F. Tosado,Democratic,"7,396",78.1
2014,10th Hampden,Carlos Gonzalez,Democratic,"5,313",97.8
2014,11th Hampden,Benjamin Swan,Democratic,"6,325",96.6
2014,12th Hampden,"Angelo J. Puppolo, Jr.",Democratic,"9,299",64.7
2014,1st Hampshire,Peter V. Kocot,Democratic,"13,937",99.5
2014,2nd Hampshire,John W. Scibak,Democratic,"12,249",99.1
2014,3rd Hampshire,Ellen S. Story,Democratic,"8,125",88.0
2014,1st Middlesex,Sheila C. Harrington,Republican,"9,958",64.3
2014,2nd Middlesex,James Arciero,Democratic,"9,263",52.8
2014,3rd Middlesex,Kate Hogan,Democratic,"9,847",60.2
2014,4th Middlesex,Danielle W. Gregoire,Democratic,"6,392",49.9
2014,5th Middlesex,David Paul Linsky,Democratic,"10,699",62.5
2014,6th Middlesex,Chris Walsh,Democratic,"9,763",83.4
2014,7th Middlesex,Tom Sannicandro,Democratic,"7,188",98.8
2014,8th Middlesex,Carolyn C. Dykema,Democratic,"9,621",56.7
2014,9th Middlesex,Thomas M. Stanley,Democratic,"9,293",71.4
2014,10th Middlesex,"John J. Lawn, Jr.",Democratic,"7,402",98.2
2014,11th Middlesex,Kay S. Khan,Democratic,"11,652",98.6
2014,12th Middlesex,Ruth B. Balser,Democratic,"11,552",98.5
2014,13th Middlesex,Carmine Lawrence Gentile,Democratic,"10,977",98.5
2014,14th Middlesex,Cory Atkins,Democratic,"12,080",75.1
2014,15th Middlesex,Jay R. Kaufman,Democratic,"12,625",99.1
2014,16th Middlesex,"Thomas A. Golden, Jr.",Democratic,"8,235",97.9
2014,17th Middlesex,David M. Nangle,Democratic,"7,226",96.5
2014,18th Middlesex,Rady Mom,Democratic,"3,867",61.5
2014,19th Middlesex,James R. Miceli,Democratic,"10,781",70.1
2014,20th Middlesex,"Bradley H. Jones, Jr",Republican,"14,592",99.6
2014,21st Middlesex,Kenneth I. Gordon,Democratic,"8,129",52.2
2014,22nd Middlesex,Marc T. Lombardo,Republican,"10,379",95.8
2014,23rd Middlesex,Sean Garballey,Democratic,"14,018",77.6
2014,24th Middlesex,David M. Rogers,Democratic,"12,748",99.1
