,city_town,senate_district
215,north reading,['First Essex and Middlesex']
216,northampton,"['Hampshire, Franklin and Worcester']"
217,northborough,"['Middlesex and Worcester', 'First Worcester']"
218,northbridge,"['Second Worcester', 'Worcester and Norfolk']"
219,northfield,"['Hampshire, Franklin and Worcester']"
220,norton,['Bristol and Norfolk']
221,norwell,['Plymouth and Norfolk']
222,norwood,['Norfolk and Suffolk']
223,oak bluffs,['Cape and Islands']
224,oakham,"['Worcester, Hampden, Hampshire and Middlesex']"
225,orange,"['Hampshire, Franklin and Worcester']"
226,orleans,['Cape and Islands']
227,otis,"['Berkshire, Hampshire, Franklin & Hampden']"
228,oxford,['Worcester and Norfolk']
229,palmer,"['Worcester, Hampden, Hampshire and Middlesex']"
230,paxton,"['Worcester, Hampden, Hampshire and Middlesex']"
231,peabody,['Second Essex']
232,pelham,"['Hampshire, Franklin and Worcester']"
233,pembroke,['Plymouth and Barnstable']
234,pepperell,['First Middlesex']
235,peru,"['Berkshire, Hampshire, Franklin & Hampden']"
236,petersham,"['Worcester, Hampden, Hampshire and Middlesex']"
237,phillipston,"['Worcester, Hampden, Hampshire and Middlesex']"
238,pittsfield,"['Berkshire, Hampshire, Franklin & Hampden']"
239,plainfield,"['Berkshire, Hampshire, Franklin & Hampden']"
240,plainville,"['Norfolk, Bristol and Middlesex']"
241,plymouth,['Plymouth and Barnstable']
242,plympton,['Second Plymouth and Bristol']
243,princeton,['First Worcester']
244,provincetown,['Cape and Islands']
245,quincy,['Norfolk and Plymouth']
246,randolph,"['Norfolk, Bristol and Plymouth']"
247,raynham,['First Plymouth and Bristol']
248,reading,['Fifth Middlesex']
249,rehoboth,['Bristol and Norfolk']
250,revere,['First Suffolk and Middlesex']
251,richmond,"['Berkshire, Hampshire, Franklin & Hampden']"
252,rochester,['First Bristol and Plymouth']
253,rockland,['Norfolk and Plymouth']
254,rockport,['First Essex and Middlesex']
255,rowe,"['Berkshire, Hampshire, Franklin & Hampden']"
256,rowley,['First Essex and Middlesex']
257,royalston,"['Hampshire, Franklin and Worcester']"
258,russell,['Second Hampden and Hampshire']
259,rutland,"['Worcester, Hampden, Hampshire and Middlesex']"
260,salem,['Second Essex']
261,salisbury,['First Essex']
262,sandisfield,"['Berkshire, Hampshire, Franklin & Hampden']"
263,sandwich,['Plymouth and Barnstable']
264,saugus,['Third Essex']
265,savoy,"['Berkshire, Hampshire, Franklin & Hampden']"
266,scituate,['Plymouth and Norfolk']
267,seekonk,['Bristol and Norfolk']
268,sharon,"['Bristol and Norfolk', 'Norfolk, Bristol and Plymouth']"
269,sheffield,"['Berkshire, Hampshire, Franklin & Hampden']"
270,shelburne,"['Berkshire, Hampshire, Franklin & Hampden']"
271,sherborn,"['Norfolk, Bristol and Middlesex']"
272,shirley,['Middlesex and Worcester']
273,shrewsbury,['Second Worcester']
274,shutesbury,"['Hampshire, Franklin and Worcester']"
275,somerset,['First Bristol and Plymouth']
276,somerville,['Second Middlesex']
277,south hadley,"['Hampshire, Franklin and Worcester']"
278,southampton,['Second Hampden and Hampshire']
279,southborough,['Middlesex and Worcester']
280,southbridge,['Worcester and Norfolk']
281,southwick,['Second Hampden and Hampshire']
282,spencer,"['Worcester, Hampden, Hampshire and Middlesex']"
283,springfield,"['Hampden', 'First Hampden and Hampshire']"
284,sterling,['Worcester and Middlesex']
285,stockbridge,"['Berkshire, Hampshire, Franklin & Hampden']"
286,stoneham,['Fifth Middlesex']
287,stoughton,"['Norfolk, Bristol and Plymouth']"
288,stow,['Middlesex and Worcester']
289,sturbridge,"['Worcester, Hampden, Hampshire and Middlesex']"
290,sudbury,"['Third Middlesex', 'Middlesex and Worcester']"
291,sunderland,"['Hampshire, Franklin and Worcester']"
292,sutton,['Worcester and Norfolk']
293,swampscott,['Third Essex']
294,swansea,['First Bristol and Plymouth']
295,taunton,['First Plymouth and Bristol']
296,templeton,"['Worcester, Hampden, Hampshire and Middlesex']"
297,tewksbury,['Second Essex and Middlesex']
298,third essex,[nan]
299,tisbury,['Cape and Islands']
300,tolland,['Second Hampden and Hampshire']
301,topsfield,['Second Essex']
302,townsend,['Worcester and Middlesex']
303,truro,['Cape and Islands']
304,tyngsborough,['First Middlesex']
305,tyringham,"['Berkshire, Hampshire, Franklin & Hampden']"
306,upton,['Second Worcester']
307,uxbridge,['Worcester and Norfolk']
308,wakefield,['Fifth Middlesex']
309,wales,"['Worcester, Hampden, Hampshire and Middlesex']"
310,walpole,['Bristol and Norfolk']
311,waltham,['Third Middlesex']
312,ware,"['Worcester, Hampden, Hampshire and Middlesex']"
313,wareham,['First Plymouth and Bristol']
314,warren,"['Worcester, Hampden, Hampshire and Middlesex']"
315,warwick,"['Hampshire, Franklin and Worcester']"
316,washington,"['Berkshire, Hampshire, Franklin & Hampden']"
317,watertown,['Second Suffolk and Middlesex']
318,wayland,"['Norfolk, Bristol and Middlesex']"
319,webster,['Worcester and Norfolk']
320,wellesley,"['First Middlesex and Norfolk', 'Norfolk, Bristol and Middlesex']"
321,wellfleet,['Cape and Islands']
322,wendell,"['Hampshire, Franklin and Worcester']"
323,wenham,['First Essex and Middlesex']
324,west boylston,['First Worcester']
325,west bridgewater,"['Norfolk, Bristol and Plymouth']"
326,west brookfield,"['Worcester, Hampden, Hampshire and Middlesex']"
327,west newbury,['First Essex and Middlesex']
328,west springfield,['Hampden']
329,west stockbridge,"['Berkshire, Hampshire, Franklin & Hampden']"
330,west tisbury,['Cape and Islands']
331,westborough,['Middlesex and Worcester']
332,westfield,['Second Hampden and Hampshire']
333,westford,['First Middlesex']
334,westhampton,"['Berkshire, Hampshire, Franklin & Hampden']"
335,westminster,['Worcester and Middlesex']
336,weston,['Third Middlesex']
337,westport,['First Bristol and Plymouth']
338,westwood,['Norfolk and Suffolk']
339,weymouth,['Plymouth and Norfolk']
340,whately,"['Hampshire, Franklin and Worcester']"
341,whitman,['Second Plymouth and Bristol']
342,wilbraham,['First Hampden and Hampshire']
343,williamsburg,"['Berkshire, Hampshire, Franklin & Hampden']"
344,williamstown,"['Berkshire, Hampshire, Franklin & Hampden']"
345,wilmington,['First Essex and Middlesex']
346,winchendon,"['Worcester, Hampden, Hampshire and Middlesex']"
347,winchester,"['Second Middlesex', 'Fifth Middlesex']"
348,windsor,"['Berkshire, Hampshire, Franklin & Hampden']"
349,winthrop,['First Suffolk and Middlesex']
350,woburn,['Fourth Middlesex']
351,worcester,"['First Worcester', 'Second Worcester']"
352,worthington,"['Berkshire, Hampshire, Franklin & Hampden']"
353,wrentham,"['Norfolk, Bristol and Middlesex']"
354,yarmouth,['Cape and Islands']
