city_town,Amount,house_district
randolph,7000.0,"['1st Norfolk', '5th Norfolk', '7th Norfolk']"
raynham,7350.0,['8th Plymouth']
reading,23500.0,"['20th Middlesex', '30th Middlesex']"
rehoboth,6750.0,['4th Bristol']
revere,37450.0,"['16th Suffolk', '19th Suffolk']"
rochester,3000.0,['10th Bristol']
rockland,1806.0,['5th Plymouth']
rockport,3199.99,['5th Essex']
rowley,9849.31,"['2nd Essex', '4th Essex']"
rutland,1000.0,['1st Worcester']
salem,25608.95,['7th Essex']
salisbury,6000.0,['1st Essex']
sandwich,3543.0,['5th Barnstable']
saugus,15600.0,"['9th Essex', '16th Suffolk']"
scituate,20750.0,"['3rd Plymouth', '4th Plymouth']"
seekonk,5840.0,['4th Bristol']
sharon,15900.0,['8th Norfolk']
sherborn,17500.0,['5th Middlesex']
shirley,3105.0,['37th Middlesex']
shrewsbury,135647.69,['11th Worcester']
somerset,12750.0,['5th Bristol']
somerville,56157.770000000004,"['26th Middlesex', '27th Middlesex', '34th Middlesex']"
south hadley,22500.0,['2nd Hampshire']
southborough,18050.0,['8th Middlesex']
southbridge,2350.0,['6th Worcester']
southwick,12900.0,['3rd Hampden']
spencer,1000.0,"['5th Worcester', '6th Worcester']"
springfield,79498.53,"['6th Hampden', '7th Hampden', '9th Hampden', '10th Hampden', '11th Hampden', '12th Hampden']"
sterling,1000.0,"['1st Worcester', '12th Worcester']"
stoneham,9000.0,['31st Middlesex']
stoughton,16220.519999999999,"['6th Norfolk', '8th Norfolk']"
stow,2000.0,['3rd Middlesex']
sturbridge,24000.0,['1st Hampden']
sudbury,22150.0,['13th Middlesex']
sutton,59322.100000000006,['18th Worcester']
swampscott,64500.0,['8th Essex']
swansea,4325.0,"['4th Bristol', '5th Bristol']"
taunton,13838.83,"['3rd Bristol', '5th Bristol', '12th Bristol']"
tewksbury,12875.0,['19th Middlesex']
topsfield,27000.0,['4th Essex']
truro,4000.0,['4th Barnstable']
upton,6000.0,['9th Worcester']
uxbridge,41300.0,['8th Worcester']
wakefield,22200.0,"['9th Essex', '32nd Middlesex']"
walpole,18000.0,"['8th Norfolk', '9th Norfolk', '11th Norfolk', '12th Norfolk']"
waltham,63060.0,"['9th Middlesex', '10th Middlesex']"
wareham,1000.0,['2nd Plymouth']
watertown,41740.29,"['10th Middlesex', '29th Middlesex']"
wayland,97000.0,"['13th Middlesex', '14th Norfolk']"
webster,6800.0,['18th Worcester']
wellesley,102266.0,['14th Norfolk']
wellfleet,2000.0,['4th Barnstable']
wenham,2750.0,['4th Essex']
west boylston,4160.0,['14th Worcester']
west bridgewater,11000.0,['10th Plymouth']
west newbury,3750.0,['2nd Essex']
west springfield,18190.0,['6th Hampden']
westborough,35130.0,"['4th Middlesex', '8th Middlesex', '11th Worcester']"
westfield,17950.0,['4th Hampden']
westford,13250.0,['1st Middlesex']
westminster,9000.0,"['1st Worcester', '2nd Worcester']"
weston,131500.0,['14th Norfolk']
westport,9950.0,['8th Bristol']
westwood,49700.0,['11th Norfolk']
weymouth,48460.75,"['3rd Norfolk', '4th Norfolk']"
whitman,2000.0,['7th Plymouth']
wilbraham,15793.43,['12th Hampden']
williamstown,6000.0,['1st Berkshire']
wilmington,181388.56,"['19th Middlesex', '21st Middlesex']"
winchendon,3000.0,['2nd Worcester']
winchester,223543.03,['31st Middlesex']
winthrop,59200.0,['19th Suffolk']
woburn,37944.75,"['15th Middlesex', '30th Middlesex']"
worcester,218593.52,"['13th Worcester', '14th Worcester', '15th Worcester', '16th Worcester', '17th Worcester']"
worthington,1000.0,['1st Franklin']
wrentham,16950.0,['9th Norfolk']
