city_town,Amount,senate_district
shirley,8922.57,['Middlesex & Worcester']
shrewsbury,289834.35,['Second Worcester']
somerset,66800.0,['First Bristol & Plymouth']
somerville,101226.29,['Second Middlesex']
south hadley,4500.0,"['Hampshire, Franklin & Worcester']"
southborough,57075.0,['Middlesex & Worcester']
southbridge,1000.0,['Worcester & Norfolk']
spencer,3000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
springfield,347671.70999999996,"['Hampden', 'First Hampden & Hampshire']"
sterling,2450.0,['Worcester & Middlesex']
stoneham,23700.0,['Fifth Middlesex']
stoughton,26012.44,"['Norfolk, Bristol & Plymouth']"
stow,7245.0,['Middlesex & Worcester']
sturbridge,12500.0,"['Worcester, Hampden, Hampshire & Middlesex']"
sudbury,25000.0,"['Third Middlesex', 'Middlesex & Worcester']"
sunderland,3750.0,"['Hampshire, Franklin & Worcester']"
sutton,104891.53,['Worcester & Norfolk']
swampscott,60500.0,['Third Essex']
swansea,600.0,['First Bristol & Plymouth']
taunton,29750.51,['First Plymouth & Bristol']
tewksbury,163800.0,['Second Essex & Middlesex']
topsfield,20750.0,['Second Essex']
townsend,7956.219999999999,['Worcester & Middlesex']
truro,620.0,['Cape & Isl&s']
upton,23000.0,['Second Worcester']
uxbridge,12748.349999999999,['Worcester & Norfolk']
wakefield,26600.0,['Fifth Middlesex']
wales,10560.82,"['Worcester, Hampden, Hampshire & Middlesex']"
walpole,53501.81,['Bristol & Norfolk']
waltham,165847.87,['Third Middlesex']
wareham,6680.0,['First Plymouth & Bristol']
washington,1397500.0,"['Berkshire, Hampshire, Franklin & Hampden']"
watertown,336746.31,['Second Suffolk & Middlesex']
wayland,23998.65,"['Norfolk, Bristol & Middlesex']"
webster,105350.0,['Worcester & Norfolk']
wellesley,599802.51,"['First Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
wellfleet,700.0,['Cape & Isl&s']
wenham,1000.0,['First Essex & Middlesex']
west boylston,4329.0,['First Worcester']
west bridgewater,8200.0,"['Norfolk, Bristol & Plymouth']"
west brookfield,5000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
west newbury,1000.0,['First Essex & Middlesex']
west springfield,13630.0,['Hampden']
west tisbury,1000.0,['Cape & Isl&s']
westborough,205500.0,['Middlesex & Worcester']
westfield,44000.0,['Second Hampden & Hampshire']
westford,18200.0,['First Middlesex']
westminster,1000.0,['Worcester & Middlesex']
weston,286316.7,['Third Middlesex']
westport,11700.0,['First Bristol & Plymouth']
westwood,48937.4,['Norfolk & Suffolk']
weymouth,50035.43,['Plymouth & Norfolk']
whitman,12000.0,['Second Plymouth & Bristol']
wilbraham,5809.16,['First Hampden & Hampshire']
williamsburg,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
wilmington,125719.25,['First Essex & Middlesex']
winchendon,5000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
winchester,1097788.5,"['Second Middlesex', 'Fifth Middlesex']"
winthrop,7813.03,['First Suffolk & Middlesex']
woburn,54387.549999999996,['Fourth Middlesex']
worcester,222452.41,"['First Worcester', 'Second Worcester']"
worthington,10800.0,"['Berkshire, Hampshire, Franklin & Hampden']"
wrentham,11000.0,"['Norfolk, Bristol & Middlesex']"
