city_town,Amount,senate_district
paxton,23907.48,"['Worcester, Hampden, Hampshire & Middlesex']"
peabody,42491.939999999995,['Second Essex']
pembroke,2000.0,['Plymouth & Barnstable']
pittsfield,94191.41,"['Berkshire, Hampshire, Franklin & Hampden']"
plainville,17000.0,"['Norfolk, Bristol & Middlesex']"
plymouth,75220.0,['Plymouth & Barnstable']
provincetown,4520.0,['Cape & Isl&s']
quincy,640848.2400000001,['Norfolk & Plymouth']
randolph,81368.70999999999,"['Norfolk, Bristol & Plymouth']"
raynham,600.0,['First Plymouth & Bristol']
reading,7400.0,['Fifth Middlesex']
revere,650.0,['First Suffolk & Middlesex']
richmond,1100.0,"['Berkshire, Hampshire, Franklin & Hampden']"
rochester,1000.0,['First Bristol & Plymouth']
rockland,24013.8,['Norfolk & Plymouth']
rockport,6525.0,['First Essex & Middlesex']
rowley,2500.0,['First Essex & Middlesex']
russell,1000.0,['Second Hampden & Hampshire']
salem,84662.78,['Second Essex']
salisbury,6000.0,['First Essex']
sandwich,21134.0,['Plymouth & Barnstable']
saugus,55417.22,['Third Essex']
scituate,31182.07,['Plymouth & Norfolk']
seekonk,20967.0,['Bristol & Norfolk']
sharon,441260.86,"['Bristol & Norfolk', 'Norfolk, Bristol & Plymouth']"
sherborn,35100.0,"['Norfolk, Bristol & Middlesex']"
shirley,1116.0,['Middlesex & Worcester']
shrewsbury,491590.2599999999,['Second Worcester']
somerset,13300.0,['First Bristol & Plymouth']
somerville,283781.49,['Second Middlesex']
south hadley,9000.0,"['Hampshire, Franklin & Worcester']"
southborough,14900.0,['Middlesex & Worcester']
southbridge,6348.47,['Worcester & Norfolk']
southwick,2240.0,['Second Hampden & Hampshire']
spencer,2773.0,"['Worcester, Hampden, Hampshire & Middlesex']"
springfield,156965.6,"['Hampden', 'First Hampden & Hampshire']"
sterling,7000.0,['Worcester & Middlesex']
stockbridge,13000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
stoneham,14522.619999999999,['Fifth Middlesex']
stoughton,40302.35999999999,"['Norfolk, Bristol & Plymouth']"
sturbridge,34750.0,"['Worcester, Hampden, Hampshire & Middlesex']"
sudbury,27500.0,"['Third Middlesex', 'Middlesex & Worcester']"
sutton,23426.0,['Worcester & Norfolk']
swampscott,44877.36,['Third Essex']
taunton,140905.78,['First Plymouth & Bristol']
tewksbury,3000.0,['Second Essex & Middlesex']
tisbury,2337.93,['Cape & Isl&s']
topsfield,2000.0,['Second Essex']
truro,5000.0,['Cape & Isl&s']
tyringham,2000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
uxbridge,41442.32000000001,['Worcester & Norfolk']
wakefield,21999.56,['Fifth Middlesex']
walpole,6000.0,['Bristol & Norfolk']
waltham,291468.89999999997,['Third Middlesex']
ware,1000.0,"['Worcester, Hampden, Hampshire & Middlesex']"
wareham,6187.73,['First Plymouth & Bristol']
warren,1639.5,"['Worcester, Hampden, Hampshire & Middlesex']"
washington,4428.0,"['Berkshire, Hampshire, Franklin & Hampden']"
watertown,192748.51,['Second Suffolk & Middlesex']
wayland,67500.0,"['Norfolk, Bristol & Middlesex']"
webster,1237.3200000000002,['Worcester & Norfolk']
wellesley,123709.9,"['First Middlesex & Norfolk', 'Norfolk, Bristol & Middlesex']"
wellfleet,18502.1,['Cape & Isl&s']
wendell,3000.0,"['Hampshire, Franklin & Worcester']"
west boylston,17766.0,['First Worcester']
west bridgewater,1000.0,"['Norfolk, Bristol & Plymouth']"
west newbury,1000.0,['First Essex & Middlesex']
west springfield,580163.94,['Hampden']
west tisbury,2000.0,['Cape & Isl&s']
westborough,40200.0,['Middlesex & Worcester']
westfield,63907.16,['Second Hampden & Hampshire']
westford,6000.0,['First Middlesex']
westminster,2500.0,['Worcester & Middlesex']
weston,219900.0,['Third Middlesex']
westport,48250.0,['First Bristol & Plymouth']
westwood,50900.0,['Norfolk & Suffolk']
weymouth,10954.029999999999,['Plymouth & Norfolk']
whately,869.72,"['Hampshire, Franklin & Worcester']"
whitman,2374.75,['Second Plymouth & Bristol']
wilbraham,26000.0,['First Hampden & Hampshire']
williamstown,20946.91,"['Berkshire, Hampshire, Franklin & Hampden']"
wilmington,72043.64,['First Essex & Middlesex']
winchester,217243.75,"['Second Middlesex', 'Fifth Middlesex']"
winthrop,97000.0,['First Suffolk & Middlesex']
woburn,279255.13999999996,['Fourth Middlesex']
worcester,1379971.6,"['First Worcester', 'Second Worcester']"
worthington,1000.0,"['Berkshire, Hampshire, Franklin & Hampden']"
wrentham,27500.0,"['Norfolk, Bristol & Middlesex']"
yarmouth,34646.4,['Cape & Isl&s']
