city_town,Amount,house_district
northborough,11390.0,"['4th Middlesex', '12th Worcester']"
northbridge,3000.0,['9th Worcester']
norwell,2441.96,['5th Plymouth']
norwood,861.22,['12th Norfolk']
orange,924.49,['2nd Franklin']
oxford,1000.0,"['7th Worcester', '18th Worcester']"
paxton,5000.0,['1st Worcester']
peabody,4925.0,"['12th Essex', '13th Essex']"
pittsfield,54299.4,"['2nd Berkshire', '3rd Berkshire']"
plymouth,2666.5,"['5th Barnstable', '1st Plymouth', '12th Plymouth']"
provincetown,840.0,['4th Barnstable']
quincy,50989.54,"['1st Norfolk', '2nd Norfolk', '3rd Norfolk', '13th Suffolk']"
randolph,2714.02,"['1st Norfolk', '5th Norfolk', '7th Norfolk']"
reading,5350.0,"['20th Middlesex', '30th Middlesex']"
revere,61640.25,"['16th Suffolk', '19th Suffolk']"
rockland,3199.54,['5th Plymouth']
rockport,575.0,['5th Essex']
salem,23727.550000000003,['7th Essex']
sandwich,3629.0,['5th Barnstable']
sharon,25000.0,['8th Norfolk']
sherborn,5000.0,['5th Middlesex']
shirley,1434.0500000000002,['37th Middlesex']
shrewsbury,7300.0,['11th Worcester']
somerville,2322.89,"['26th Middlesex', '27th Middlesex', '34th Middlesex']"
south hadley,2500.0,['2nd Hampshire']
southwick,705.0,['3rd Hampden']
springfield,48590.770000000004,"['6th Hampden', '7th Hampden', '9th Hampden', '10th Hampden', '11th Hampden', '12th Hampden']"
stoneham,527.28,['31st Middlesex']
stoughton,22645.86,"['6th Norfolk', '8th Norfolk']"
sturbridge,2500.0,['1st Hampden']
sudbury,2500.0,['13th Middlesex']
sutton,6350.0,['18th Worcester']
swampscott,12077.36,['8th Essex']
taunton,56019.81,"['3rd Bristol', '5th Bristol', '12th Bristol']"
uxbridge,17319.4,['8th Worcester']
wakefield,10000.0,"['9th Essex', '32nd Middlesex']"
waltham,17055.5,"['9th Middlesex', '10th Middlesex']"
wareham,7187.73,['2nd Plymouth']
washington,5665.42,['4th Berkshire']
watertown,56319.130000000005,"['10th Middlesex', '29th Middlesex']"
wayland,1000.0,"['13th Middlesex', '14th Norfolk']"
wellesley,17074.66,['14th Norfolk']
west boylston,4758.0,['14th Worcester']
west springfield,3508.3900000000003,['6th Hampden']
westford,1000.0,['1st Middlesex']
weston,10000.0,['14th Norfolk']
westport,3300.0,['8th Bristol']
westwood,800.0,['11th Norfolk']
weymouth,18355.52,"['3rd Norfolk', '4th Norfolk']"
whitman,8450.98,['7th Plymouth']
williamstown,2000.0,['1st Berkshire']
wilmington,78202.53,"['19th Middlesex', '21st Middlesex']"
winchester,20663.52,['31st Middlesex']
winthrop,13014.82,['19th Suffolk']
woburn,24310.66,"['15th Middlesex', '30th Middlesex']"
worcester,129081.29000000001,"['13th Worcester', '14th Worcester', '15th Worcester', '16th Worcester', '17th Worcester']"
