,year,district,name,sex,party,vote_count,vote_percent
34,2016,9th Essex,Donald H. Wong,m,Republican,"12,816",54.5
35,2016,10th Essex,Daniel H. Cahill,m,Democratic,"11,556",98.4
36,2016,10th Essex,Daniel H. Cahill,m,Democratic,320,96.7
37,2016,11th Essex,Brendan P. Crighton,m,Democratic,"11,223",98.2
38,2016,12th Essex,Thomas P. Walsh,m,Democratic,"7,138",57.4
39,2016,12th Essex,Thomas P. Walsh,m,Democratic,"16,480",98.6
40,2016,13th Essex,Theodore C. Speliotis,m,Democratic,"18,163",98.1
41,2016,14th Essex,Diana DiZoglio,f,Democratic,"15,927",99.2
42,2016,15th Essex,Linda Dean Campbell,f,Democratic,"12,904",63.3
43,2016,16th Essex,Juana B. Matias,f,Democratic,"11,205",98.1
44,2016,17th Essex,Frank A. Moran,m,Democratic,"12,033",98.7
45,2016,18th Essex,"James J. Lyons, Jr.",m,Republican,"14,218",59.6
46,2016,1st Franklin,Stephen Kulik,m,Democratic,"20,798",99.8
47,2016,2nd Franklin,Susannah Whipps M. Lee,f,Republican,"15,490",98.7
48,2016,1st Hampden,Todd M. Smola,m,Republican,"17,633",99.3
49,2016,2nd Hampden,Brian M. Ashe,m,Democratic,"18,058",98.7
50,2016,3rd Hampden,Nicholas A. Boldyga,m,Republican,"12,136",59.9
51,2016,4th Hampden,John C. Velis,m,Democratic,"15,399",99.4
52,2016,5th Hampden,Aaron Vega,m,Democratic,"13,687",99.7
53,2016,6th Hampden,Michael J. Finn,m,Democratic,"12,819",98.9
54,2016,7th Hampden,Thomas M. Petrolati,m,Democratic,"16,180",98.6
55,2016,8th Hampden,Joseph F. Wagner,m,Democratic,"14,479",98.1
56,2016,9th Hampden,Jose F. Tosado,m,Democratic,"12,020",80.3
57,2016,10th Hampden,Carlos Gonzalez,m,Democratic,"10,286",98.4
58,2016,11th Hampden,Bud L. Williams,m,Democratic,"11,634",97.5
59,2016,12th Hampden,"Angelo J. Puppolo, Jr.",m,Democratic,"16,368",99.0
60,2016,1st Hampshire,Peter V. Kocot,m,Democratic,"20,145",99.6
61,2016,2nd Hampshire,John W. Scibak,m,Democratic,"19,023",99.3
62,2016,3rd Hampshire,Solomon Israel Goldstein-Rose,m,Democratic,"14,601",98.7
63,2016,1st Middlesex,Sheila C. Harrington,f,Republican,"14,984",65.1
64,2016,2nd Middlesex,James Arciero,m,Democratic,"20,337",99.3
65,2016,3rd Middlesex,Kate Hogan,f,Democratic,"19,161",98.8
66,2016,4th Middlesex,Danielle W. Gregoire,m,Democratic,"11,531",59.6
67,2016,5th Middlesex,David Paul Linsky,m,Democratic,"19,566",99.1
68,2016,6th Middlesex,Chris Walsh,m,Democratic,"16,009",98.5
69,2016,7th Middlesex,Jack Patrick Lewis,m,Democratic,"9,286",61.8
70,2016,8th Middlesex,Carolyn C. Dykema,f,Democratic,"19,524",98.5
71,2016,9th Middlesex,Thomas M. Stanley,m,Democratic,"12,654",63.3
72,2016,10th Middlesex,"John J. Lawn, Jr.",m,Democratic,"12,665",98.5
73,2016,11th Middlesex,Kay S. Khan,f,Democratic,"17,153",98.7
74,2016,12th Middlesex,Ruth B. Balser,f,Democratic,"16,582",98.6
75,2016,13th Middlesex,Carmine Lawrence Gentile,m,Democratic,"17,561",98.7
76,2016,14th Middlesex,Cory Atkins,m,Democratic,"14,831",60.2
77,2016,15th Middlesex,Jay R. Kaufman,m,Democratic,"17,736",100.0
78,2016,16th Middlesex,"Thomas A. Golden, Jr.",m,Democratic,"13,962",98.4
79,2016,17th Middlesex,David M. Nangle,m,Democratic,"12,305",97.5
80,2016,18th Middlesex,Rady Mom,m,Democratic,"8,107",71.7
81,2016,19th Middlesex,James R. Miceli,m,Democratic,"19,349",98.7
82,2016,20th Middlesex,"Bradley H. Jones, Jr",m,Republican,"19,756",99.5
83,2016,21st Middlesex,Kenneth I. Gordon,m,Democratic,"13,476",58.5
84,2016,22nd Middlesex,Marc T. Lombardo,m,Republican,"12,583",58.9
85,2016,23rd Middlesex,Sean Garballey,m,Democratic,"20,991",99.2
86,2016,24th Middlesex,David M. Rogers,m,Democratic,"18,570",99.1
87,2016,25th Middlesex,Marjorie C. Decker,f,Democratic,"15,968",99.2
88,2016,26th Middlesex,Mike Connolly,m,Democratic,"15,872",98.4
89,2016,27th Middlesex,Denise Provost,f,Democratic,"18,409",87.0
90,2016,28th Middlesex,"Joseph W. Mcgonagle, Jr",m,Democratic,"10,811",98.5
91,2016,29th Middlesex,Jonathan Hecht,m,Democratic,"18,821",98.6
92,2016,30th Middlesex,James J. Dwyer,m,Democratic,"15,943",99.6
93,2016,31st Middlesex,Michael Seamus Day,m,Democratic,"14,528",58.8
94,2016,32nd Middlesex,Paul A. Brodeur,m,Democratic,"18,386",98.7
95,2016,33rd Middlesex,Steven Ultrino,m,Democratic,"11,435",98.5
96,2016,34th Middlesex,Christine P. Barber,f,Democratic,"16,334",98.6
97,2016,35th Middlesex,"Paul J. Donato, Sr.",m,Democratic,"15,306",98.5
98,2016,36th Middlesex,Colleen M. Garry,f,Democratic,"18,003",99.8
99,2016,37th Middlesex,Jennifer E. Benson,f,Democratic,"17,814",99.0
100,2016,1st Norfolk,Bruce J. Ayers,m,Democratic,"15,497",99.8
101,2016,2nd Norfolk,Tackey Chan,m,Democratic,"15,005",100.0
102,2016,3rd Norfolk,Ronald Mariano,m,Democratic,"15,810",99.2
103,2016,4th Norfolk,James Michael Murphy,m,Democratic,"17,771",98.7
104,2016,5th Norfolk,Mark J. Cusack,m,Democratic,"16,652",98.5
105,2016,6th Norfolk,William C. Galvin,m,Democratic,"17,215",99.6
106,2016,7th Norfolk,"William J. Driscoll, Jr",m,Democratic,"16,318",99.2
107,2016,8th Norfolk,Louis L. Kafka,m,Democratic,"18,169",99.2
108,2016,9th Norfolk,Shawn C. Dooley,m,Republican,"14,427",60.9
109,2016,10th Norfolk,Jeffrey N. Roy,m,Democratic,"18,581",98.2
110,2016,11th Norfolk,Paul McMurtry,m,Democratic,"18,918",99.2
111,2016,12th Norfolk,John H. Rogers,m,Democratic,"14,534",65.9
112,2016,13th Norfolk,Denise C. Garlick,f,Democratic,"20,144",98.7
113,2016,14th Norfolk,Alice Hanlon Peisch,f,Democratic,"17,759",99.4
114,2016,15th Norfolk,Frank Israel Smizik,m,Democratic,"16,079",99.5
115,2016,1st Plymouth,Mathew J. Muratore,m,Republican,"11,873",50.8
116,2016,2nd Plymouth,Susan Williams Gifford,f,Republican,"11,894",57.7
117,2016,3rd Plymouth,Joan Meschino,f,Democratic,"13,257",54.0
118,2016,4th Plymouth,James M. Cantwell,m,Democratic,"17,388",69.6
119,2016,5th Plymouth,David F. Decoste,m,Republican,"12,293",51.0
120,2016,6th Plymouth,Josh S. Cutler,m,Democratic,"15,290",64.0
121,2016,7th Plymouth,Geoff Diehl,m,Republican,"17,088",99.2
122,2016,8th Plymouth,Angelo L. D'Emilia,m,Republican,"14,963",98.4
123,2016,9th Plymouth,Gerard J. Cassidy,m,Democratic,"4,536",99.0
124,2016,9th Plymouth,Gerard J. Cassidy,m,Democratic,"10,346",85.6
125,2016,10th Plymouth,Michelle M. Dubois,f,Democratic,"13,945",99.2
126,2016,11th Plymouth,Claire D. Cronin,f,Democratic,"15,361",99.8
127,2016,12th Plymouth,"Thomas J. Calter, III",m,Democratic,"13,908",59.9
128,2016,1st Suffolk,Adrian C. Madaro,m,Democratic,"9,946",98.0
129,2016,2nd Suffolk,Daniel Joseph Ryan,m,Democratic,"12,755",99.1
130,2016,3rd Suffolk,Aaron M. Michlewitz,m,Democratic,"15,542",98.7
131,2016,4th Suffolk,Nick Collins,m,Democratic,"18,781",98.6
132,2016,5th Suffolk,Evandro C. Carvalho,m,Democratic,"10,855",83.9
133,2016,6th Suffolk,Russell E. Holmes,m,Democratic,"13,044",98.8
134,2016,7th Suffolk,Chynah Tyler,f,Democratic,"9,150",98.6
135,2016,8th Suffolk,Jay D. Livingstone,m,Democratic,"16,201",98.7
136,2016,9th Suffolk,Byron Rushing,m,Democratic,"12,617",98.5
137,2016,10th Suffolk,Edward F. Coppinger,m,Democratic,"17,070",98.8
138,2016,11th Suffolk,Elizabeth A. Malia,f,Democratic,"15,628",88.9
139,2016,12th Suffolk,Dan Cullinane,m,Democratic,"15,286",98.6
140,2016,13th Suffolk,Daniel J. Hunt,m,Democratic,"14,507",98.4
141,2016,14th Suffolk,Angelo M. Scaccia,m,Democratic,"15,784",98.4
142,2016,15th Suffolk,Jeffrey Sanchez,m,Democratic,"15,675",98.9
143,2016,16th Suffolk,Roselee Vincent,f,Democratic,"11,220",98.6
144,2016,17th Suffolk,Kevin G. Honan,m,Democratic,"13,367",98.6
145,2016,18th Suffolk,Michael J. Moran,m,Democratic,"10,714",98.6
146,2016,19th Suffolk,Robert A. DeLeo,m,Democratic,"13,000",98.2
147,2016,1st Worcester,Kimberly N. Ferguson,f,Republican,"20,065",99.3
148,2016,2nd Worcester,Jonathan D. Zlotnik,m,Democratic,"14,470",99.0
149,2016,3rd Worcester,Stephan Hay,m,Democratic,"4,613",50.5
150,2016,3rd Worcester,Stephan Hay,m,Democratic,"13,498",99.5
151,2016,4th Worcester,Natalie Higgins,f,Democratic,"10,382",55.1
152,2016,5th Worcester,"Donald R. Berthiaume, Jr",m,Republican,"17,133",99.5
153,2016,6th Worcester,Peter J. Durant,m,Republican,"15,106",98.5
154,2016,7th Worcester,Paul K. Frost,m,Republican,"13,691",66.3
155,2016,8th Worcester,Kevin J. Kuros,m,Republican,"17,436",98.8
156,2016,9th Worcester,"David K. Muradian, Jr",m,Republican,"18,513",99.6
157,2016,10th Worcester,Brian W. Murray,m,Democratic,"11,869",54.9
158,2016,11th Worcester,Hannah E. Kane,f,Republican,"17,835",98.1
159,2016,12th Worcester,"Harold P. Naughton, Jr.",m,Democratic,"15,976",79.8
160,2016,13th Worcester,"John J. Mahoney, Jr.",m,Democratic,"12,943",98.0
161,2016,14th Worcester,James J. O'Day,m,Democratic,"13,360",98.1
162,2016,15th Worcester,Mary S. Keefe,f,Democratic,"8,039",78.2
163,2016,16th Worcester,Daniel M. Donahue,m,Democratic,"7,783",67.0
164,2016,17th Worcester,Kate D. Campanale,f,Republican,"8,011",54.4
165,2016,18th Worcester,Joseph D. Mckenna,m,Republican,"16,504",99.0
