GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
620L200US25090,25090,"Eighth Essex District (2010), Massachusetts",16533,389,1130,225,659,173,459,178,354,127,647,169,440,158,530,154,406,139,469,136,1162,196,1193,217,2000,267,1971,267,1035,224,1540,221,2538,308
620L200US25091,25091,"Ninth Essex District (2010), Massachusetts",15509,393,695,161,583,163,456,154,480,144,646,156,506,179,555,183,469,149,660,173,846,178,1708,270,2185,324,1858,293,1464,265,1497,249,901,191
620L200US25092,25092,"Tenth Essex District (2010), Massachusetts",14904,525,2033,351,985,183,794,171,758,231,602,188,1003,204,775,167,803,219,747,199,1436,277,1358,233,1721,288,831,196,568,124,333,107,157,99
620L200US25093,25093,"Eleventh Essex District (2010), Massachusetts",15469,435,1990,251,1338,259,784,175,1029,247,812,198,873,208,849,187,676,197,806,189,1047,212,1175,222,1740,251,1116,209,536,122,414,113,284,100
620L200US25094,25094,"Twelfth Essex District (2010), Massachusetts",17817,481,1126,234,1009,219,856,184,698,185,739,166,905,200,801,152,705,184,627,174,1311,242,2315,336,2331,254,1701,247,1152,191,1061,201,480,124
620L200US25095,25095,"Thirteenth Essex District (2010), Massachusetts",14787,359,425,144,419,136,519,178,477,157,498,153,428,131,325,118,360,114,462,142,1067,250,1556,240,2210,295,1997,272,1009,179,1515,233,1520,283
620L200US25096,25096,"Fourteenth Essex District (2010), Massachusetts",15292,465,1438,342,820,197,785,196,715,197,767,208,658,194,545,147,513,168,732,201,1354,280,1738,254,1774,320,970,200,653,135,843,176,987,174
620L200US25097,25097,"Fifteenth Essex District (2010), Massachusetts",15794,375,924,220,915,236,665,210,778,177,677,173,739,167,513,150,800,188,619,180,1154,195,1610,232,1892,268,1991,261,934,165,1069,181,514,133
620L200US25098,25098,"Sixteenth Essex District (2010), Massachusetts",13555,469,2767,346,1789,290,1150,250,953,228,1225,271,653,196,440,131,494,188,591,179,802,179,935,206,820,199,508,152,190,90,71,55,167,92
620L200US25099,25099,"Seventeenth Essex District (2010), Massachusetts",15828,452,1039,231,443,143,839,225,604,200,419,143,424,157,333,120,598,168,275,115,870,210,1626,275,1858,246,1942,316,1175,205,1566,243,1817,240
620L200US25100,25100,"First Franklin District (2010), Massachusetts",17670,374,956,173,956,195,699,126,589,123,714,148,906,157,545,124,1095,209,843,199,1483,242,1869,201,2906,287,1968,223,844,132,715,104,582,125
620L200US25101,25101,"Second Franklin District (2010), Massachusetts",17175,378,1106,220,1192,230,1386,241,743,159,901,191,1076,220,1105,211,811,133,959,164,1545,245,2206,254,2199,268,884,148,561,136,279,75,222,80
620L200US25102,25102,"First Hampden District (2010), Massachusetts",17009,355,983,231,766,181,808,218,868,192,615,156,774,161,868,203,901,191,574,164,1365,248,1764,277,2541,326,1978,265,873,183,776,152,555,129
620L200US25103,25103,"Second Hampden District (2010), Massachusetts",15548,419,677,201,453,116,393,127,670,189,395,122,725,211,660,175,362,112,599,173,1036,217,1403,225,2108,283,2067,281,1418,224,1154,185,1428,229
620L200US25104,25104,"Third Hampden District (2010), Massachusetts",16494,347,738,187,903,232,617,159,655,170,625,173,686,154,600,189,750,201,663,178,1382,270,1975,283,2909,330,1719,229,1045,191,745,171,482,160
620L200US25105,25105,"Fourth Hampden District (2010), Massachusetts",15270,517,1354,277,969,191,896,227,819,205,729,235,705,196,607,140,662,126,614,153,1297,258,1392,226,2039,244,1254,188,710,128,704,156,519,116
620L200US25106,25106,"Fifth Hampden District (2010), Massachusetts",16108,502,3166,394,1760,308,1088,280,1086,264,735,188,597,178,702,183,904,199,663,186,1189,212,1154,236,1482,264,819,190,372,125,262,79,129,82
620L200US25107,25107,"Sixth Hampden District (2010), Massachusetts",17163,465,1257,265,1157,222,1203,289,874,209,1033,236,916,196,821,226,673,156,763,215,1507,256,1902,281,2499,310,1094,187,791,181,355,117,318,103
620L200US25108,25108,"Seventh Hampden District (2010), Massachusetts",14879,395,780,189,794,159,736,162,804,188,706,185,486,130,816,195,600,183,619,154,1146,210,1705,245,2290,294,1615,239,673,151,631,145,478,133
620L200US25109,25109,"Eighth Hampden District (2010), Massachusetts",15924,452,1406,290,1198,246,1243,271,1043,229,829,215,855,233,1013,228,795,182,816,169,1218,251,1749,288,1724,243,1257,196,437,114,209,86,132,70
620L200US25110,25110,"Ninth Hampden District (2010), Massachusetts",15585,498,1314,222,1224,240,1055,205,1021,251,1086,227,1027,247,679,160,874,198,584,136,1367,242,1772,274,1884,264,939,219,339,117,309,102,111,68
620L200US25111,25111,"Tenth Hampden District (2010), Massachusetts",14281,494,3703,407,2078,287,1481,231,974,212,835,158,827,245,635,164,561,173,292,112,726,158,705,184,840,201,341,147,108,73,126,85,49,38
620L200US25112,25112,"Eleventh Hampden District (2010), Massachusetts",13400,412,2115,300,1195,226,1369,234,897,207,872,221,736,169,682,186,696,195,562,160,961,205,1117,233,1433,224,417,115,142,58,106,64,100,53
620L200US25113,25113,"Twelfth Hampden District (2010), Massachusetts",16098,375,712,178,726,194,790,181,771,167,521,134,763,174,426,123,552,126,656,187,1247,226,1753,273,2779,373,1735,240,969,176,1087,198,611,168
620L200US25114,25114,"Eighteenth Essex District (2010), Massachusetts",14803,417,183,74,349,117,391,127,369,94,448,133,487,125,343,108,491,146,540,163,928,189,1394,234,1810,236,1591,201,1232,172,1759,274,2488,235
620L200US25115,25115,"First Hampshire District (2010), Massachusetts",16439,418,1216,216,859,216,700,141,620,136,689,186,871,219,689,155,914,191,671,145,1153,224,1831,244,2109,227,1639,265,862,165,758,150,858,157
620L200US25116,25116,"Second Hampshire District (2010), Massachusetts",16193,407,805,206,956,229,593,128,602,149,657,194,739,173,877,196,779,190,662,161,1473,206,1592,232,3204,361,1569,253,680,138,597,168,408,105
620L200US25117,25117,"Third Hampshire District (2010), Massachusetts",11683,826,985,274,933,285,645,222,694,183,508,155,586,187,361,119,463,164,294,123,727,167,806,183,1486,241,1243,216,706,176,697,189,549,148
620L200US25118,25118,"First Middlesex District (2010), Massachusetts",14757,468,388,135,647,196,430,135,280,93,281,93,420,117,422,149,531,162,443,159,1149,223,1449,222,2242,293,1605,204,1545,249,1498,243,1427,212
